,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Hobart,32,AU,1571018001,35,-42.88,147.33,75.0,9.17
1,Georgetown,90,GY,1571018001,94,6.8,-58.16,77.0,2.24
2,Pangnirtung,14,CA,1571018001,55,66.15,-65.72,22.75,2.31
3,Wattegama,33,LK,1571018002,78,7.35,80.68,80.19,0.82
4,Paamiut,0,GL,1571018002,52,61.99,-49.67,29.35,14.36
5,Manacapuru,40,BR,1571018002,83,-3.3,-60.62,78.8,1.41
6,Mataura,100,NZ,1571018002,67,-46.19,168.86,60.76,5.09
7,Wladyslawowo,100,PL,1571018003,72,54.79,18.4,64.99,14.99
8,Punta Arenas,75,CL,1571018003,78,-53.16,-70.91,42.8,16.11
9,Otorohanga,100,NZ,1571018004,78,-38.18,175.2,57.0,14.08
10,Jamestown,29,AU,1571018004,39,-33.21,138.6,69.44,9.35
11,Puerto Narino,40,CO,1571018004,94,-3.77,-70.38,78.8,2.78
12,Ponta do Sol,28,BR,1571018004,50,-20.63,-46.0,69.94,5.64
13,Half Moon Bay,20,US,1571018005,87,37.46,-122.43,75.2,5.19
14,Porto Novo,0,BR,1571018005,53,-23.68,-45.44,75.2,3.36
15,Aklavik,75,CA,1571018005,79,68.22,-135.01,28.4,6.93
16,Torbay,90,CA,1571018006,93,47.66,-52.73,53.6,9.17
17,Tessaoua,0,NE,1571018006,22,13.76,7.99,84.27,10.61
18,Sitka,0,US,1571018006,52,37.17,-99.65,57.99,10.0
19,Butaritari,66,KI,1571018007,63,3.07,172.79,85.48,5.5
20,Busselton,51,AU,1571018007,42,-33.64,115.35,64.99,8.88
21,Maragogi,49,BR,1571018007,79,-9.01,-35.22,78.1,18.01
22,Vila do Maio,0,CV,1571018008,74,15.13,-23.22,78.8,16.11
23,Manta,82,RO,1571018008,53,45.1,24.1,52.68,2.12
24,Mayumba,100,GA,1571018008,91,-3.44,10.65,75.74,12.86
25,Kaitangata,99,NZ,1571018008,86,-46.28,169.85,48.88,25.55
26,Sinnamary,89,GF,1571018009,82,5.38,-52.96,81.25,16.36
27,Hermanus,0,ZA,1571018009,79,-34.42,19.24,63.43,3.57
28,Pandan,75,PH,1571018009,73,11.72,122.09,84.42,14.34
29,Tuatapere,100,NZ,1571018010,89,-46.13,167.69,54.43,3.31
30,Hamilton,75,CA,1571018010,66,43.26,-79.87,60.8,6.93
31,Madaoua,0,NE,1571018010,41,14.07,5.96,83.68,2.43
32,San Rafael,100,AR,1571018010,25,-34.61,-68.33,53.94,15.69
33,Gazanjyk,0,TM,1571018011,85,39.24,55.52,49.75,1.38
34,Eureka,1,US,1571018011,81,40.8,-124.16,55.0,4.7
35,Tiksi,100,RU,1571018011,90,71.64,128.87,18.0,5.15
36,Ushuaia,75,AR,1571018012,69,-54.81,-68.31,37.4,8.05
37,Blyznyuky,0,UA,1571018012,85,48.86,36.56,52.57,6.48
38,Vineland,20,CA,1571018012,54,43.15,-79.39,60.8,8.05
39,Vaini,40,IN,1571018013,100,15.34,74.49,71.6,8.34
40,Bluff,13,AU,1571018013,38,-23.58,149.07,84.38,7.21
41,Carlsbad,0,CZ,1571018013,87,50.23,12.87,60.01,1.12
42,Cabo San Lucas,90,MX,1571018014,88,22.89,-109.91,80.6,16.11
43,East London,9,ZA,1571018014,76,-33.02,27.91,64.35,22.25
44,New Norfolk,91,AU,1571018014,35,-42.78,147.06,75.0,9.17
45,Kidal,9,ML,1571018015,23,18.44,1.41,83.44,0.72
46,Albany,1,US,1571018015,87,42.65,-73.75,53.01,5.82
47,Saedinenie,0,BG,1571018015,81,42.27,24.54,51.8,3.36
48,Kapaa,75,US,1571018016,74,22.08,-159.32,86.0,12.75
49,Mar del Plata,0,AR,1571018016,67,-46.43,-67.52,44.55,5.43
50,Saskylakh,78,RU,1571018016,94,71.97,114.09,19.08,3.27
51,Predivinsk,100,RU,1571018016,64,57.07,93.44,40.59,5.82
52,Northam,75,AU,1571018017,59,-31.65,116.67,64.4,16.11
53,Gizo,22,IL,1571018017,83,31.8,34.94,75.2,5.82
54,Gat,20,SN,1571018017,83,14.69,-16.54,78.8,4.7
55,Barrow,95,AR,1571018017,78,-38.31,-60.23,38.97,7.76
56,Kloulklubed,75,PW,1571018018,78,7.04,134.26,82.4,4.7
57,Nikolskoye,75,RU,1571018018,86,59.7,30.79,42.01,3.01
58,Taltal,75,CL,1571018018,89,-25.41,-70.49,51.67,5.99
59,Hasaki,75,JP,1571018019,77,35.73,140.83,68.0,13.87
60,Kelowna,90,CA,1571018020,93,49.89,-119.5,46.4,2.15
61,Guangyuan,100,CN,1571018020,75,32.43,105.86,66.99,3.9
62,Labuhan,36,ID,1571018020,38,-2.54,115.51,95.67,3.07
63,Atuona,88,PF,1571018020,72,-9.8,-139.03,79.3,11.79
64,Rikitea,100,PF,1571018021,83,-23.12,-134.97,71.01,11.44
65,Carnarvon,0,ZA,1571018021,40,-30.97,22.13,56.01,10.68
66,Sola,4,TZ,1571018021,68,-3.17,33.8,67.75,6.47
67,Singkang,40,MY,1571018022,94,2.1,102.8,77.0,4.7
68,Biak,0,ID,1571018022,79,-0.91,122.88,80.85,10.41
69,Quang Ngai,100,VN,1571018022,80,15.12,108.8,79.88,14.2
70,Sivaki,0,RU,1571018023,35,52.63,126.75,33.53,12.27
71,Castro,0,CL,1571018023,61,-42.48,-73.76,48.2,9.17
72,Sambava,14,MG,1571018023,97,-14.27,50.17,66.47,2.97
73,Nyurba,100,RU,1571018024,76,63.29,118.35,29.62,8.07
74,Pacific Grove,1,US,1571018024,55,36.62,-121.92,62.6,5.82
75,Diamantino,33,BR,1571018024,78,-14.4,-56.44,73.99,2.5
76,Port Alfred,0,ZA,1571018025,85,-33.59,26.89,63.0,7.0
77,Cape Town,0,ZA,1571018025,87,-33.93,18.42,59.0,5.82
78,Filingue,7,NE,1571018025,42,14.35,3.32,87.26,7.69
79,Kandalaksha,100,RU,1571018026,87,67.15,32.41,33.01,8.02
80,Huanren,0,CN,1571018026,34,41.26,125.37,41.7,9.33
81,Kokopo,100,PG,1571018026,77,-4.34,152.27,81.64,16.13
82,Oga,0,IT,1571018027,81,46.46,10.35,48.0,2.24
