,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Iquique,75,CL,1571019730,72,-20.22,-70.14,64.4,3.36
1,Lamu,0,CN,1571019730,60,35.77,102.37,44.55,4.11
2,Qazvin,30,IR,1571019731,93,36.28,50.01,46.4,2.24
3,Saskylakh,78,RU,1571019731,94,71.97,114.09,19.08,3.27
4,Nanortalik,0,GL,1571019506,86,60.14,-45.24,34.09,14.39
5,Corn Island,99,NI,1571019731,70,12.17,-83.04,82.47,5.21
6,Lata,0,IN,1571019471,29,30.78,78.62,39.15,2.16
7,Lakes Entrance,37,AU,1571019732,40,-37.88,147.99,75.99,5.99
8,Kvarkeno,100,RU,1571019732,93,52.08,59.73,47.64,10.68
9,Longyearbyen,37,NO,1571019733,73,78.22,15.63,19.4,1.12
10,Dire Dawa,36,ET,1571019733,84,9.59,41.86,56.08,1.1
11,Ilulissat,0,GL,1571019510,52,69.22,-51.1,19.4,8.05
12,Alugan,1,PH,1571019733,70,12.22,125.48,82.45,3.27
13,Luderitz,0,NA,1571019734,76,-26.65,15.16,57.2,9.17
14,Issoire,0,FR,1571019734,63,45.54,3.25,64.4,12.75
15,Buraydah,10,SA,1571019734,46,26.33,43.97,71.6,3.36
16,Kabo,85,CF,1571019735,94,7.69,18.62,69.89,1.85
17,Guerrero Negro,0,MX,1571019735,67,27.97,-114.04,68.47,13.52
18,Veraval,75,FR,1571019735,100,49.65,0.71,55.99,8.05
19,Barrow,95,AR,1571019736,78,-38.31,-60.23,38.97,7.76
20,Bilibino,100,RU,1571019736,84,68.06,166.44,23.65,4.51
21,Isangel,40,VU,1571019590,74,-19.55,169.27,82.4,11.41
22,Kapaa,75,US,1571019432,83,22.08,-159.32,86.0,9.17
23,Celestun,30,MX,1571019528,78,20.87,-90.4,82.13,19.89
24,Starodub,38,RU,1571019737,93,52.58,32.76,52.32,5.42
25,Moose Jaw,20,CA,1571019737,38,50.4,-105.54,39.2,2.24
26,Flinders,0,AU,1571019738,46,-34.58,150.85,77.0,6.93
27,Teliu,100,RO,1571019738,84,45.7,25.86,43.0,2.66
28,Byron Bay,40,AU,1571019586,56,-28.65,153.62,80.01,12.75
29,Valle de Allende,100,MX,1571019738,96,26.94,-105.39,59.76,5.43
30,Bar-le-Duc,5,FR,1571019739,77,48.77,5.16,64.4,12.75
31,San Policarpo,1,PH,1571019471,70,12.18,125.51,82.45,3.27
32,Port Elizabeth,90,US,1571019469,93,39.31,-74.98,64.99,4.7
33,Dikson,100,RU,1571019740,99,73.51,80.55,30.87,4.53
34,Anadyr,90,RU,1571019740,93,64.73,177.51,37.4,24.61
35,Beckley,1,US,1571019740,87,37.78,-81.19,53.6,3.89
36,Kaeo,100,NZ,1571019451,100,-35.1,173.78,55.99,36.5
37,Luanda,75,AO,1571019741,88,-8.83,13.24,73.4,4.7
38,Laguna,75,BZ,1571019741,100,16.17,-88.94,75.2,9.17
39,Sorland,43,NO,1571019741,54,67.67,12.69,43.16,3.74
40,Sumbawanga,74,TZ,1571019741,70,-7.95,31.62,61.2,6.51
41,Aasiaat,49,GL,1571019742,55,68.71,-52.87,19.45,5.55
42,Avera,40,US,1571019742,100,33.19,-82.53,73.4,2.53
43,Dingle,70,PH,1571019554,74,11.0,122.67,83.95,7.57
44,Kyren,0,RU,1571019743,28,51.68,102.13,36.86,3.7
45,Coquimbo,75,CL,1571019534,82,-29.95,-71.34,55.4,12.75
46,Lavrentiya,100,RU,1571019743,80,65.58,-170.99,35.44,13.76
47,Chicama,90,PE,1571019497,82,-7.84,-79.15,62.6,6.93
48,Norrtalje,75,SE,1571019744,93,59.76,18.7,51.01,8.05
49,Antofagasta,10,CL,1571019744,67,-23.65,-70.4,62.6,14.99
50,Bud,0,NO,1571019461,74,62.91,6.91,35.6,8.05
51,Taltal,75,CL,1571019744,89,-25.41,-70.49,51.67,5.99
52,Provideniya,90,RU,1571019529,88,64.42,-173.23,35.6,11.18
53,Clyde River,90,CA,1571019491,85,70.47,-68.59,24.8,3.36
54,Whyalla,0,AU,1571019745,59,-33.04,137.58,64.4,14.99
55,Bull Savanna,100,JM,1571019745,93,17.89,-77.59,72.14,3.44
56,Havoysund,40,NO,1571019542,92,71.0,24.66,28.4,5.82
57,Makakilo City,75,US,1571019588,74,21.35,-158.09,86.0,5.82
58,Riyadh,0,SA,1571019609,57,24.63,46.72,75.2,2.24
59,Zhengjiatun,0,CN,1571019746,24,43.51,123.51,43.86,12.59
60,Tsabong,0,BW,1571019747,31,-26.02,22.4,67.12,4.7
61,Baghdad,0,IQ,1571019747,46,33.3,44.38,71.6,6.93
62,Eureka,1,US,1571019467,93,40.8,-124.16,54.0,8.05
63,Chinna Salem,90,IN,1571019748,70,11.64,78.88,82.8,3.7
64,Alindao,63,CF,1571019748,96,5.04,21.21,68.25,2.4
65,Dandong,0,CN,1571019559,28,40.12,124.37,50.18,18.44
66,Musoma,75,TZ,1571019748,94,-1.5,33.81,68.0,3.24
67,Puerto Montt,0,CL,1571019749,66,-41.47,-72.94,50.0,6.93
68,Liverpool,100,GB,1571019568,100,53.41,-2.98,48.99,4.7
69,Tuatapere,100,NZ,1571019749,89,-46.13,167.69,54.43,3.31
70,Navsari,20,IN,1571019750,73,20.95,72.93,77.0,7.01
71,Kavieng,100,PG,1571019465,69,-2.57,150.8,83.7,4.35
72,Hithadhoo,100,MV,1571019450,73,-0.6,73.08,82.9,5.01
73,Hearst,100,CA,1571019750,96,49.69,-83.67,34.9,3.93
74,Aklavik,75,CA,1571019751,86,68.22,-135.01,26.6,4.7
75,Ribeira Grande,100,PT,1571019467,78,38.52,-28.7,61.52,11.59
76,Thompson,90,CA,1571019453,100,55.74,-97.86,33.8,6.93
77,Mahebourg,75,MU,1571019503,88,-20.41,57.7,70.0,3.36
78,Elizabeth City,90,US,1571019751,94,36.3,-76.22,69.8,3.36
79,Tuktoyaktuk,40,CA,1571019448,68,69.44,-133.03,30.2,10.29
80,Martapura,75,ID,1571019547,55,-3.41,114.85,87.8,5.82
81,Ambon,90,FR,1571019583,100,47.55,-2.56,57.2,4.7
82,Juana Diaz,40,PR,1571019752,74,18.05,-66.51,82.4,4.02
83,Rantepao,18,ID,1571019488,62,-2.97,119.9,81.36,3.31
84,Hami,0,CN,1571019560,29,42.84,93.51,57.78,3.58
85,Turbat,0,PK,1571019753,59,26.0,63.05,80.78,2.44
86,Key West,90,US,1571019753,92,47.93,-96.78,35.6,9.17
87,Union,1,US,1571019754,88,34.72,-81.62,66.99,6.93
88,Davila,20,PH,1571019754,62,18.47,120.58,87.8,13.87
89,Kurchum,0,KZ,1571019754,45,48.57,83.65,56.48,8.16
90,San Jose,100,HN,1571019755,96,14.25,-87.96,64.06,4.92
91,Yinchuan,100,CN,1571019755,31,38.48,106.21,36.0,3.0
92,Codrington,40,AU,1571019538,39,-28.95,153.24,80.01,5.82
93,Kilindoni,3,TZ,1571019756,78,-7.91,39.67,78.46,7.74
94,Avarua,0,CK,1571019441,61,-21.21,-159.78,77.0,14.99
95,Kruisfontein,0,ZA,1571019756,91,-34.0,24.73,53.98,7.56
96,Sinnamary,89,GF,1571019522,82,5.38,-52.96,81.25,16.36
97,Tiksi,100,RU,1571019472,90,71.64,128.87,18.0,5.15
98,Tura,86,RU,1571019520,92,64.27,100.22,27.27,4.29
99,Upernavik,0,GL,1571019454,47,72.79,-56.15,18.73,10.7
100,Haileybury,90,CA,1571019757,100,47.44,-79.64,41.0,8.05
101,Sur,0,OM,1571019477,65,22.57,59.53,78.42,2.7
102,Mackay,90,CA,1571019460,100,53.65,-115.58,39.2,3.36
103,Salinas,1,US,1571019758,82,36.67,-121.66,64.0,8.05
104,Lebu,20,ET,1571019514,87,8.96,38.73,51.8,4.7
105,Pinheiro Machado,100,BR,1571019759,4,-31.58,-53.38,53.01,25.01
106,Broken Hill,0,AU,1571019589,38,-31.97,141.45,75.2,19.46
107,Komsomolskiy,100,RU,1571019588,89,67.55,63.78,31.89,6.93
108,Alekseyevka,0,RU,1571019759,88,53.25,50.49,43.86,13.65
109,Council Bluffs,1,US,1571019760,67,41.26,-95.86,50.0,4.7
110,Jalu,65,LY,1571019600,48,29.03,21.55,73.83,1.42
111,Pisco,90,PE,1571019760,72,-13.71,-76.2,64.4,10.29
112,Tongren,100,CN,1571019761,87,27.72,109.18,61.9,7.94
113,Port Hardy,40,CA,1571019761,76,50.7,-127.42,51.8,5.82
114,Los Llanos de Aridane,75,ES,1571019503,93,28.66,-17.92,66.2,13.87
115,Cape Town,0,ZA,1571019762,87,-33.93,18.42,59.0,9.17
116,Sola,4,TZ,1571019762,68,-3.17,33.8,67.75,6.47
117,Rio Grande,100,BR,1571019762,76,-32.03,-52.1,62.74,21.94
118,Esso,78,RU,1571019763,93,55.93,158.7,22.37,3.75
119,Gamboma,74,CG,1571019763,85,-1.87,15.88,72.88,2.95
120,Blairmore,40,CA,1571019763,60,49.61,-114.44,42.8,5.84
121,Leon,1,US,1571019763,75,40.74,-93.75,45.0,5.82
122,Arona,75,IT,1571019764,93,45.76,8.56,60.01,3.36
123,Moerai,52,PF,1571019764,73,-22.43,-151.33,70.88,14.11
124,Airai,14,TL,1571019765,13,-8.93,125.41,87.78,9.3
125,Tessalit,68,ML,1571019766,19,20.2,1.01,88.27,4.78
126,Matongo,6,BI,1571019766,88,-3.07,29.61,57.85,3.48
127,Te Anau,100,NZ,1571019766,80,-45.41,167.72,49.78,1.14
128,Maamba,0,ZM,1571019767,34,-17.36,27.22,68.05,2.13
129,Mount Gambier,40,AU,1571019542,67,-37.83,140.78,62.6,13.87
130,Rabaul,100,PG,1571019767,75,-4.2,152.17,81.48,4.24
131,Pasighat,0,IN,1571019767,64,28.06,95.33,78.78,1.76
132,Hasaki,75,JP,1571019477,77,35.73,140.83,68.0,11.41
133,Palmer,75,AU,1571019585,67,-34.85,139.16,68.0,10.29
134,Oistins,40,BB,1571019768,83,13.07,-59.53,80.6,14.99
135,Great Yarmouth,100,GB,1571019769,93,52.61,1.73,50.0,2.24
136,Vao,100,EE,1571019592,97,59.1,26.19,41.56,5.34
137,Orangeburg,90,US,1571019769,69,33.49,-80.86,75.2,9.17
138,Omboue,100,GA,1571019593,96,-1.57,9.26,73.8,4.76
139,Nikolskoye,75,RU,1571019770,86,59.7,30.79,42.01,3.01
140,Dezhou,0,CN,1571019770,25,37.45,116.31,57.81,11.94
141,Talnakh,100,RU,1571019511,97,69.49,88.39,27.45,8.24
